t,step,x,y,theta,theta_dot,theta_ddot,tau,x_target,y_target,theta_target,ex,ey,etheta,p_error,i_error,d_error,kp,ki,kd,reward,reward_cum
6.32,316,-1.0,6.123234262925839e-17,-1.5707963705062866,-1.4314537048339844,11.893465995788574,2.0,-0.29930591583251953,0.9541571736335754,-0.30396515130996704,0.7006940841674805,0.9541571736335754,1.2668311595916748,1.2668311595916748,-0.16759440302848816,0.0,10.0,0.5,1.0,-0.08905643885519969,-69.46179111152816
6.34,317,-1.0,6.123234262925839e-17,-1.5707963705062866,-1.1938222646713257,11.881572723388672,2.0,-0.2847890555858612,0.9585902094841003,-0.2887863516807556,0.7152109742164612,0.9585902094841003,1.2820099592208862,1.2820099592208862,-0.14210598170757294,0.0,10.0,0.5,1.0,-0.09167434352384907,-69.553465455052
6.36,318,-1.0,6.123234262925839e-17,-1.5707963705062866,-0.9564284086227417,11.869690895080566,2.0,-0.2698114216327667,0.9629132151603699,-0.2731971740722656,0.7301886081695557,0.9629132151603699,1.297599196434021,1.297599196434021,-0.11630989611148834,0.0,10.0,0.5,1.0,-0.09416106589006819,-69.64762652094207
6.38,319,-1.0,6.123234262925839e-17,-1.5707963705062866,-0.7192719578742981,11.857821464538574,2.0,-0.2543927729129791,0.967100977897644,-0.25721976161003113,0.7456072568893433,0.967100977897644,1.313576579093933,1.313576579093933,-0.09019813686609268,0.0,10.0,0.5,1.0,-0.09651267734491652,-69.74413919828699
6.4,320,-1.0,6.123234262925839e-17,-1.5707963705062866,-0.48235270380973816,11.845963478088379,2.0,-0.2385542392730713,0.9711291790008545,-0.24087683856487274,0.7614457607269287,0.9711291790008545,1.329919457435608,1.329919457435608,-0.06376317888498306,0.0,10.0,0.5,1.0,-0.09872547167370045,-69.84286466996069
6.42,321,-1.0,6.123234262925839e-17,-1.5707963705062866,-0.24567033350467682,11.834117889404297,2.0,-0.22231827676296234,0.9749741554260254,-0.2241916060447693,0.7776817083358765,0.9749741554260254,1.3466047048568726,1.3466047048568726,-0.03699793666601181,0.0,10.0,0.5,1.0,-0.10079597582588512,-69.94366064578658
6.44,322,-1.0,6.123234262925839e-17,-1.5707963705062866,-0.0092246662825346,11.822283744812012,2.0,-0.20570865273475647,0.9786132574081421,-0.20718778669834137,0.7942913770675659,0.9786132574081421,1.363608479499817,1.363608479499817,-0.009895805269479752,0.0,10.0,0.5,1.0,-0.10272096057953466,-70.04638160636611
6.46,323,-0.9999896883964539,0.004539675544947386,-1.5662566423416138,0.22698456048965454,11.810461044311523,2.0,-0.18875043094158173,0.9820250868797302,-0.1898895502090454,0.8112392425537109,0.9774854183197021,1.3763670921325684,1.3763670921325684,0.017503950744867325,0.0,10.0,0.5,1.0,-0.07760983499637268,-70.12399144136248
6.48,324,-0.9999048113822937,0.01379836443811655,-1.556997537612915,0.4629555642604828,11.79854965209961,2.0,-0.17146988213062286,0.9851893782615662,-0.17232146859169006,0.8284348845481873,0.9713910222053528,1.3846760988235474,1.3846760988235474,0.04511438310146332,0.0,10.0,0.5,1.0,-0.051122100879591126,-70.17511354224207
6.5,325,-0.9996143579483032,0.027768710628151894,-1.5430240631103516,0.6986739039421082,11.785918235778809,2.0,-0.15389446914196014,0.9880872964859009,-0.15450850129127502,0.8457199335098267,0.9603185653686523,1.388515591621399,1.388515591621399,0.07284630089998245,0.0,10.0,0.5,1.0,-0.024312264059289806,-70.19942580630136
